instance,method,term,num_courses,total_credits,final_deviation,courses
bacp12.dat,IncrementalSAT,6,6,17,0,"fis100, hcw310, iwg101, mat124, ili363, ili331"
bacp12.dat,IncrementalSAT,7,5,17,0,"fis110, ild208, iwn261, ili362, iln230"
bacp12.dat,IncrementalSAT,8,5,17,0,"fis120, fis130, ili151, ili252, ici313"
bacp12.dat,IncrementalSAT,9,5,17,0,"ile260, mat260, mat270, ici382, ici314"
bacp12.dat,IncrementalSAT,10,5,17,0,"dew101, ili142, fis140, mat210, ili221"
bacp12.dat,IncrementalSAT,11,8,17,0,"dewxx0, hcw311, hxwxx2, ili281, ili242, ici393, hrw100, ici367"
bacp12.dat,IncrementalSAT,12,5,17,0,"ili355, ili237, ili381, ici332, icn336"
bacp12.dat,MaxSAT,1,5,17,0,"fis100, mat111, mat121, iwi131, ili260"
bacp12.dat,MaxSAT,2,4,17,0,"fis110, mat112, mat122, ili243"
bacp12.dat,MaxSAT,3,5,17,0,"dew100, mat113, mat123, ili252, ici344"
bacp12.dat,MaxSAT,4,5,17,0,"ili134, ili231, mat210, mat260, hrw150"
bacp12.dat,MaxSAT,5,6,17,0,"hcw310, dew101, ili273, ili238, ici393, ili237"
bacp12.dat,MaxSAT,6,5,17,0,"fis130, ili221, ili274, ili334, ici315"
bacp12.dat,MaxSAT,7,5,17,0,"hcw311, ili142, mat270, ici382, ili331"
bacp12.dat,MaxSAT,8,6,17,0,"iwm185, iwn170, qui104, ili275, ici313, iwi365"
bacp12.dat,MaxSAT,9,8,17,0,"dewxx0, hxwxx1, hxwxx2, ild208, iwn270, ili363, iwn261, ici367"
bacp12.dat,MaxSAT,10,6,17,0,"ili151, ili242, hrw110, ili362, iln230, ici332"
bacp12.dat,MaxSAT,11,6,17,0,"iwg101, fis120, mat124, ili281, hrw100, ici314"
bacp12.dat,MaxSAT,12,5,17,0,"fis140, ile260, ili355, ili381, icn336"
bacp8.dat,IncrementalSAT,1,5,16,0,"fis100, mat192, iwi131, iei162, iwn261"
bacp8.dat,IncrementalSAT,2,6,17,0,"iei134, iei141, iei271, hfw120, iei261, iwn270"
bacp8.dat,IncrementalSAT,3,5,16,0,"iwg101, mat190, iei133, iei231, iei273"
bacp8.dat,IncrementalSAT,4,5,17,0,"mat193, iwn170, iei233, iei232, iei262"
bacp8.dat,IncrementalSAT,5,6,17,0,"hcw310, fis101, mat191, hxwxx2, iei219, iei248"
bacp8.dat,IncrementalSAT,6,6,17,0,"dew100, mat194, iei142, iei161, iwi365, iei218"
bacp8.dat,IncrementalSAT,7,6,17,0,"dew101, fis102, iei132, mat195, iei274, hrw130"
bacp8.dat,IncrementalSAT,8,7,16,0,"hxwxx1, dewxx0, hcw311, iei241, iei281, iei238, iei272"
bacp8.dat,MaxSAT,1,5,17,0,"mat190, mat192, iwi131, iwn170, iwn261"
bacp8.dat,MaxSAT,2,5,17,0,"fis100, mat191, mat193, iei141, iei218"
bacp8.dat,MaxSAT,3,6,17,0,"dew100, iei134, mat194, iei142, iei162, iei262"
bacp8.dat,MaxSAT,4,5,16,0,"iei132, iei133, iei231, iei271, iwi365"
bacp8.dat,MaxSAT,5,6,17,0,"mat195, hfw120, iei238, iei273, iei161, iwn270"
bacp8.dat,MaxSAT,6,7,17,0,"hcw310, dew101, iei281, iei261, iei272, iei232, iei274"
bacp8.dat,MaxSAT,7,7,16,0,"iwg101, fis101, hxwxx1, dewxx0, hcw311, iei233, hrw130"
bacp8.dat,MaxSAT,8,5,16,0,"fis102, hxwxx2, iei241, iei219, iei248"
